Date,Price,Open,High,Low,Vol.,Change %
21/7/2022,20636,20318,20909,20273,25.35,1.57%
20/7/2022,20318,20318,20682,20273,18.58,0.90%
19/7/2022,20136,20455,20545,20091,17.9,-1.99%
18/7/2022,20545,21091,21182,20455,21.92,-2.59%
15/7/2022,21091,20318,21364,20318,52.47,4.50%
14/7/2022,20182,20182,20364,20091,13.77,-0.45%
13/7/2022,20273,20182,20727,20136,19.64,0.00%
12/7/2022,20273,20045,20455,19955,13.36,1.14%
11/7/2022,20045,20364,20591,19955,13.72,-1.78%
8/7/2022,20409,20000,20500,20000,21.46,3.22%
7/7/2022,19773,19500,19773,19455,11.91,1.40%
6/7/2022,19500,19727,20227,19364,20.06,-2.05%
5/7/2022,19909,20091,20318,19773,16.6,-0.46%
4/7/2022,20000,20591,20591,20000,13.69,-1.79%
1/7/2022,20364,20273,20545,19591,16.72,0.45%
30/6/2022,20273,20818,21273,20273,21.95,-1.98%
29/6/2022,20682,20273,21045,20091,22.21,1.11%
28/6/2022,20455,20773,20773,20227,19.62,-1.74%
27/6/2022,20818,20000,20818,19409,22.81,5.05%
24/6/2022,19818,19864,20455,19727,14.11,0.00%
23/6/2022,19818,19545,19864,19545,7.62,1.40%
22/6/2022,19545,18955,20000,18955,23.59,3.36%
21/6/2022,18909,19409,19545,18636,43.93,-3.70%
20/6/2022,19636,20682,20909,19636,41,-6.90%
17/6/2022,21091,21318,21364,19955,33.26,-1.12%
16/6/2022,21329,20744,21569,20572,47.74,5.44%
15/6/2022,20228,20709,21260,19849,41.04,-2.97%
14/6/2022,20847,21673,21707,20778,40.67,-4.72%
13/6/2022,21879,22705,23049,21810,30.37,-5.36%
10/6/2022,23118,23255,23565,23118,21.71,-0.59%
9/6/2022,23255,22636,23771,22533,38.58,2.73%
8/6/2022,22636,22911,23014,22533,35.52,-0.90%
7/6/2022,22842,22911,23083,22464,27.71,-0.30%
6/6/2022,22911,23496,23565,22774,25.41,-0.30%
3/6/2022,22980,22911,23393,22877,21.04,0.75%
2/6/2022,22808,23393,23599,22739,36.29,-3.49%
1/6/2022,23634,23737,23943,23255,30.95,-1.01%
31/5/2022,23874,24322,24322,23737,26.94,-2.12%
30/5/2022,24390,24425,24666,24287,21.53,0.00%
27/5/2022,24390,24081,24700,23943,25.16,1.28%
26/5/2022,24081,24081,24494,23771,23.2,1.60%
25/5/2022,23702,23737,24046,22739,56.37,-1.29%
24/5/2022,24012,25285,25457,23530,60.35,-5.03%
23/5/2022,25285,26110,26282,24975,14.56,-2.39%
20/5/2022,25904,25938,26007,25629,19.92,-0.66%
19/5/2022,26076,25663,26214,25354,22.94,-0.78%
18/5/2022,26282,26420,26626,26042,22.98,0.00%
17/5/2022,26282,24906,26282,24769,33.48,5.23%
16/5/2022,24975,25491,25801,24975,42.03,1.11%
13/5/2022,24700,26248,26523,24597,61.49,-6.14%
12/5/2022,26317,27934,27968,26317,36.11,-5.90%
11/5/2022,27968,28209,28415,27899,13.67,-1.10%
10/5/2022,28278,27177,28278,26626,27.8,2.88%
9/5/2022,27486,28553,28828,27486,37.59,-4.43%
6/5/2022,28759,28484,29585,28484,21.47,-0.59%
5/5/2022,28931,29310,29310,28553,19.76,0.12%
4/5/2022,28897,29791,29791,28897,21.31,-3.00%
29/4/2022,29791,29516,29860,29482,17.66,0.46%
28/4/2022,29654,29241,29895,29241,19.46,1.41%
27/4/2022,29241,28347,29516,28278,26.86,-6.22%
26/4/2022,31181.2,30386.5,31332.5,29970.2,30.26,1.10%
25/4/2022,30840.6,33148.9,33148.9,30840.6,37.77,-6.96%
22/4/2022,33148.9,33300.3,33338.1,32051.5,16.51,1.04%
21/4/2022,32808.3,32543.4,33375.9,31862.3,23.16,0.35%
20/4/2022,32694.8,32921.8,33300.3,32619.1,17.21,-0.23%
19/4/2022,32770.5,32543.4,33224.6,32467.8,24.77,1.52%
18/4/2022,32278.5,33338.1,33716.5,32278.5,30.14,-3.51%
15/4/2022,33451.6,33981.4,34057.1,33413.8,23.89,-1.56%
14/4/2022,33981.4,34284.1,34473.3,33981.4,15.65,-0.66%
13/4/2022,34208.4,34284.1,34397.7,33830,16.53,0.22%
12/4/2022,34132.8,35192.3,35192.3,34094.9,23.7,-2.80%
8/4/2022,35116.6,35381.5,35608.6,35078.8,17.86,-0.32%
7/4/2022,35230.2,35949.1,36024.8,35230.2,18.87,-1.48%
6/4/2022,35759.9,34813.9,36289.7,34813.9,38.62,2.49%
5/4/2022,34889.6,34813.9,35116.6,34776.1,15.76,0.55%
4/4/2022,34700.4,34813.9,35041,34624.7,15.8,0.33%
1/4/2022,34586.9,34057.1,34813.9,33678.7,25.61,1.33%
31/3/2022,34132.8,34549,34776.1,33905.7,24.56,-0.88%
30/3/2022,34435.5,34662.5,35116.6,34359.8,20.44,-0.76%
29/3/2022,34700.4,34965.3,35003.1,34662.5,16.88,-0.11%
28/3/2022,34738.2,34889.6,35457.2,34662.5,25.36,-1.08%
25/3/2022,35116.6,35230.2,35532.9,34965.3,17.48,0.00%
24/3/2022,35116.6,35570.7,35570.7,35078.8,19.41,-0.85%
23/3/2022,35419.4,35722.1,35911.3,35419.4,22.48,-0.21%
22/3/2022,35495,35495,35532.9,35041,29.86,0.11%
21/3/2022,35457.2,35343.7,35722.1,35116.6,25.11,0.75%
18/3/2022,35192.3,34965.3,35457.2,34851.7,23.05,1.20%
17/3/2022,34776.1,35268,35343.7,34738.2,19.45,-0.54%
16/3/2022,34965.3,35495,35684.3,34965.3,14.84,0.11%
15/3/2022,34927.4,34776.1,35343.7,34397.7,27.12,0.76%
14/3/2022,34662.5,35797.8,36478.9,34662.5,44,-3.78%
11/3/2022,36024.8,37235.7,37311.4,35457.2,57.64,-3.15%
10/3/2022,37197.9,37841.2,37916.9,37160.1,34.88,-1.40%
9/3/2022,37727.7,37841.2,38068.3,36970.9,45.21,0.81%
8/3/2022,37425,38295.3,38749.4,37425,52.66,-3.23%
7/3/2022,38673.7,37992.6,39733.3,37841.2,49.99,2.61%
4/3/2022,37689.8,38598,38825.1,37689.8,43.39,-0.60%
3/3/2022,37916.9,36024.8,37916.9,35797.8,99.11,6.82%
2/3/2022,35495,35570.7,35835.6,35268,25.86,0.00%
1/3/2022,35495,36100.5,36403.2,35457.2,30.39,-0.64%
28/2/2022,35722.1,34851.7,36176.2,34851.7,45.76,2.83%
25/2/2022,34738.2,34889.6,35078.8,34738.2,16.61,-0.22%
24/2/2022,34813.9,35381.5,35457.2,34132.8,29.18,-1.50%
23/2/2022,35343.7,35305.8,35722.1,35003.1,16.88,0.65%
22/2/2022,35116.6,35041,35268,34586.9,22.97,-0.54%
21/2/2022,35305.8,35646.4,35949.1,35230.2,15.83,-0.85%
18/2/2022,35608.6,34965.3,36062.7,34851.7,27.79,1.18%
17/2/2022,35192.3,34813.9,35381.5,34813.9,14.76,1.09%
16/2/2022,34813.9,34889.6,35192.3,34511.2,12.16,0.00%
15/2/2022,34813.9,34965.3,35230.2,34359.8,20.23,-0.43%
14/2/2022,34965.3,35192.3,35949.1,34927.4,23.72,-2.01%
11/2/2022,35684.3,35268,35949.1,35041,22.55,0.32%
10/2/2022,35570.7,35873.5,36251.9,35343.7,30.68,-0.63%
9/2/2022,35797.8,34662.5,36554.6,34586.9,52.39,3.84%
8/2/2022,34473.3,32543.4,34473.3,32543.4,34.49,5.81%
7/2/2022,32581.3,32392.1,33073.2,31635.2,21.59,2.01%
28/1/2022,31938,31975.8,32392.1,31559.6,19.42,0.12%
27/1/2022,31900.1,32694.8,32921.8,31786.6,19.11,-2.99%
26/1/2022,32884,32921.8,33640.8,32884,19.77,0.46%
25/1/2022,32732.6,30651.4,32770.5,30424.3,23.25,6.27%
24/1/2022,30802.7,32619.1,32694.8,30802.7,38.25,-6.00%
21/1/2022,32770.5,33300.3,33640.8,32619.1,21.16,-1.59%
20/1/2022,33300.3,33148.9,33451.6,32770.5,19.07,1.15%
19/1/2022,32921.8,33603,33716.5,32884,23.02,-1.14%
18/1/2022,33300.3,33678.7,34246.3,32543.4,27.87,-1.57%
17/1/2022,33830,35003.1,35192.3,33830,28.16,-3.35%
14/1/2022,35003.1,35192.3,35457.2,34965.3,10.27,-0.96%
13/1/2022,35343.7,35041,35797.8,34965.3,32.49,1.08%
12/1/2022,34965.3,34208.4,35003.1,34170.6,19.09,2.44%
11/1/2022,34132.8,34851.7,34851.7,34132.8,16.59,-1.20%
10/1/2022,34549,34700.4,35305.8,34435.5,22.72,-0.33%
7/1/2022,34662.5,34889.6,34965.3,34549,21.24,-0.65%
6/1/2022,34889.6,35192.3,35343.7,34889.6,22.32,-1.50%
5/1/2022,35419.4,35495,35835.6,35419.4,24.39,0.11%
4/1/2022,35381.5,35419.4,35722.1,35268,26.13,0.75%
31/12/2021,35116.6,34813.9,35305.8,34700.4,17.92,1.53%
30/12/2021,34586.9,35041,35041,34586.9,13.37,-0.22%
29/12/2021,34662.5,34662.5,35041,34435.5,19.65,0.00%
28/12/2021,34662.5,34738.2,35343.7,34511.2,16.06,-0.22%
27/12/2021,34738.2,35230.2,35268,34473.3,13.88,-0.33%
24/12/2021,34851.7,34284.1,35305.8,34246.3,24.92,2.45%
23/12/2021,34019.2,34132.8,34132.8,33375.9,34.68,-0.33%
22/12/2021,34132.8,35041,35192.3,34132.8,32.07,-2.17%
21/12/2021,34889.6,35495,35532.9,34889.6,22.22,-1.71%
20/12/2021,35495,35343.7,35835.6,35192.3,12.98,0.43%
17/12/2021,35343.7,35835.6,35987,35268,28.62,-1.68%
16/12/2021,35949.1,36403.2,36403.2,35797.8,14.34,-0.63%
15/12/2021,36176.2,36327.6,36781.6,36100.5,11.76,0.21%
14/12/2021,36100.5,35230.2,37160.1,34965.3,46.38,2.47%
13/12/2021,35230.2,35230.2,35684.3,35041,18.6,0.11%
10/12/2021,35192.3,35608.6,35722.1,35116.6,25.26,-1.27%
9/12/2021,35646.4,35495,35797.8,35419.4,13.42,-0.21%
8/12/2021,35722.1,36251.9,36251.9,35608.6,14.44,-0.84%
7/12/2021,36024.8,35154.5,36024.8,34813.9,28.52,4.04%
6/12/2021,34624.7,35949.1,36289.7,34435.5,45.02,-4.09%
3/12/2021,36100.5,36933,37197.9,36100.5,28.19,-1.85%
2/12/2021,36781.6,37235.7,37273.6,36781.6,16.68,-0.82%
1/12/2021,37084.4,37462.8,37462.8,37008.7,17.97,0.10%
30/11/2021,37046.5,37046.5,37803.4,36706,28.83,1.14%
29/11/2021,36630.3,36478.9,37008.7,36478.9,28.34,-1.33%
26/11/2021,37122.2,37311.4,37803.4,37084.4,34.75,-0.41%
25/11/2021,37273.6,36857.3,37349.3,36857.3,28.29,1.23%
24/11/2021,36819.5,37462.8,37614.2,36706,35.26,-1.82%
23/11/2021,37500.6,37008.7,37689.8,36781.6,20.34,1.85%
22/11/2021,36819.5,36478.9,37235.7,36327.6,29.42,1.35%
19/11/2021,36327.6,37538.5,37614.2,36251.9,63.01,-3.90%
18/11/2021,37803.4,38900.8,38900.8,37538.5,76.19,-2.82%
17/11/2021,38900.8,39354.9,39808.9,38900.8,39,-1.15%
16/11/2021,39354.9,40338.7,40565.8,39354.9,51.71,-2.99%
15/11/2021,40565.8,41246.9,41322.6,40338.7,39.84,-1.83%
12/11/2021,41322.6,40792.8,41474,40717.1,27.1,1.11%
11/11/2021,40868.5,41625.3,41852.4,40565.8,70.58,-2.35%
10/11/2021,41852.4,42760.6,42836.2,41776.7,56.39,-2.12%
9/11/2021,42760.6,42987.6,43593.1,42684.9,32.13,-0.53%
8/11/2021,42987.6,43063.3,43139,42533.5,27.63,0.35%
5/11/2021,42836.2,42609.2,43139,42155.1,25.19,0.53%
4/11/2021,42609.2,42079.4,43063.3,42079.4,19.3,1.26%
3/11/2021,42079.4,42533.5,42609.2,41852.4,38.83,0.18%
2/11/2021,42003.7,42003.7,42684.9,41776.7,33.37,-0.36%
1/11/2021,42155.1,43214.7,43214.7,42155.1,58.78,-2.45%
29/10/2021,43214.7,43895.8,43971.5,43214.7,31.04,-1.55%
28/10/2021,43895.8,43820.1,44047.2,43366,28.5,0.17%
27/10/2021,43820.1,42609.2,43820.1,42609.2,37.62,2.84%
26/10/2021,42609.2,41474,42609.2,41019.9,36.28,2.18%
25/10/2021,41701,42760.6,42911.9,41701,54.09,-2.82%
22/10/2021,42911.9,43441.7,43744.4,42911.9,25.8,-0.87%
21/10/2021,43290.3,43290.3,44047.2,42836.2,50.95,0.53%
20/10/2021,43063.3,43441.7,43517.4,42230.8,45.06,-0.52%
19/10/2021,43290.3,43593.1,43895.8,43214.7,30.84,-1.21%
18/10/2021,43820.1,43593.1,44198.5,43517.4,26.96,1.05%
15/10/2021,43366,43366,43668.7,43139,24.08,0.88%
14/10/2021,42987.6,42987.6,43441.7,42911.9,25.06,0.00%
13/10/2021,42987.6,43139,43441.7,42760.6,20.26,-0.35%
12/10/2021,43139,43366,43593.1,42987.6,23.54,-0.35%
11/10/2021,43290.3,42457.8,43366,42155.1,33.21,2.69%
8/10/2021,42155.1,42230.8,42533.5,41776.7,28.2,0.18%
7/10/2021,42079.4,42684.9,42911.9,42003.7,34.8,-0.89%
6/10/2021,42457.8,42230.8,42609.2,41928.1,34.8,1.45%
5/10/2021,41852.4,42003.7,42306.5,41701,34.54,-0.36%
4/10/2021,42003.7,40792.8,42306.5,40792.8,58.96,3.93%
1/10/2021,40414.4,40036,40641.5,39884.6,39.62,0.95%
30/9/2021,40036,40641.5,40641.5,39960.3,30.09,-0.75%
29/9/2021,40338.7,39884.6,40565.8,39808.9,45.37,1.33%
28/9/2021,39808.9,38295.3,39884.6,38295.3,46.29,3.54%
27/9/2021,38446.7,38900.8,39354.9,38446.7,37.01,0.00%
24/9/2021,38446.7,38598,39127.8,38371,20.65,-0.39%
23/9/2021,38598,38825.1,39279.2,38522.3,23.11,0.20%
22/9/2021,38522.3,38446.7,38673.7,38295.3,17.09,0.20%
21/9/2021,38446.7,38295.3,38749.4,37992.6,37.5,-0.97%
20/9/2021,38825.1,39657.6,39657.6,38522.3,42.03,-0.97%
17/9/2021,39203.5,38900.8,39354.9,38825.1,31.91,0.97%
16/9/2021,38825.1,39354.9,39581.9,38825.1,23.38,-0.58%
15/9/2021,39052.1,37916.9,39354.9,37765.5,33.68,2.58%
14/9/2021,38068.3,38446.7,38598,37992.6,29.16,-0.98%
13/9/2021,38446.7,38976.4,38976.4,38371,35.4,-1.36%
10/9/2021,38976.4,39354.9,39506.2,38900.8,22.38,-0.77%
9/9/2021,39279.2,39052.1,39657.6,38976.4,47.73,1.17%
8/9/2021,38825.1,38371,39279.2,38143.9,42.95,1.18%
7/9/2021,38371,39052.1,39354.9,38295.3,40.62,-0.98%
6/9/2021,38749.4,37462.8,38900.8,37387.1,62.53,4.07%
1/9/2021,37235.7,37084.4,37500.6,37008.7,19.59,-0.20%
31/8/2021,37311.4,37084.4,37614.2,36933,33.63,1.23%
30/8/2021,36857.3,36327.6,36895.2,36062.7,22.11,2.31%
27/8/2021,36024.8,35949.1,36214,35381.5,31.84,-0.21%
26/8/2021,36100.5,36781.6,36781.6,35987,18.02,-1.45%
25/8/2021,36630.3,36289.7,36706,35873.5,21.32,1.36%
24/8/2021,36138.3,36024.8,36516.8,35949.1,28.51,0.53%
23/8/2021,35949.1,37084.4,37084.4,35949.1,42.67,-3.06%
20/8/2021,37084.4,38446.7,38598,36478.9,64.13,-3.73%
19/8/2021,38522.3,38295.3,38825.1,38143.9,35.76,0.99%
18/8/2021,38143.9,38219.6,38522.3,37765.5,26.21,0.00%
17/8/2021,38143.9,37576.3,38522.3,37538.5,59.13,1.92%
16/8/2021,37425,37084.4,37462.8,37046.5,28.89,1.64%
13/8/2021,36819.5,36630.3,36857.3,36100.5,33.55,0.52%
12/8/2021,36630.3,37008.7,37084.4,36630.3,28.01,-1.12%
11/8/2021,37046.5,37689.8,37689.8,37046.5,28.46,-0.91%
10/8/2021,37387.1,37916.9,38219.6,37160.1,30.31,-0.60%
9/8/2021,37614.2,36403.2,37614.2,36289.7,39.55,2.69%
6/8/2021,36630.3,36781.6,37160.1,36554.6,26.13,-0.82%
5/8/2021,36933,35911.3,37084.4,35835.6,38.62,2.74%
4/8/2021,35949.1,35987,36327.6,35759.9,31.63,0.53%
3/8/2021,35759.9,35797.8,36062.7,35381.5,36.79,0.00%
2/8/2021,35759.9,35646.4,36251.9,35495,31.47,-0.11%
30/7/2021,35797.8,35646.4,36024.8,35646.4,29.92,0.42%
29/7/2021,35646.4,35532.9,36100.5,35419.4,42.62,0.86%
28/7/2021,35343.7,35041,35646.4,34965.3,27.58,1.08%
27/7/2021,34965.3,34813.9,35419.4,34586.9,23.67,1.32%
26/7/2021,34511.2,34435.5,34889.6,33792.2,30.53,-0.44%
23/7/2021,34662.5,35419.4,35570.7,34662.5,37.58,-2.97%
22/7/2021,35722.1,35343.7,36100.5,35041,27.94,0.96%
21/7/2021,35381.5,35949.1,36176.2,35268,27.74,-1.16%
20/7/2021,35797.8,34057.1,35797.8,33640.8,53.26,6.77%
19/7/2021,33527.3,34549,34738.2,33300.3,51.25,-5.24%
16/7/2021,35381.5,35343.7,35911.3,35192.3,28.93,0.54%
15/7/2021,35192.3,33754.4,35457.2,33754.4,37.11,3.33%
14/7/2021,34057.1,34738.2,34813.9,33565.1,35.66,-1.10%
13/7/2021,34435.5,34435.5,34813.9,33716.5,33.15,1.22%
12/7/2021,34019.2,35343.7,35495,33300.3,98.15,-4.97%
9/7/2021,35797.8,36706,37160.1,34813.9,60.96,-3.47%
8/7/2021,37084.4,37765.5,37916.9,36781.6,39.82,-1.80%
7/7/2021,37765.5,37084.4,37765.5,36214,52.72,3.96%
6/7/2021,36327.6,38673.7,39506.2,36327.6,62.68,-6.25%
5/7/2021,38749.4,39581.9,39581.9,38446.7,48.19,-2.10%
2/7/2021,39581.9,40111.7,40414.4,39506.2,39.08,-0.95%
1/7/2021,39960.3,39127.8,40036,39052.1,51.57,2.52%
30/6/2021,38976.4,39279.2,39506.2,38900.8,24.57,-0.58%
29/6/2021,39203.5,39733.3,39808.9,39127.8,25.78,-1.15%
28/6/2021,39657.6,38825.1,39733.3,38446.7,50.91,3.35%
25/6/2021,38371,38371,38749.4,37689.8,34.05,0.20%
24/6/2021,38295.3,38900.8,39127.8,38219.6,25.98,-1.56%
23/6/2021,38900.8,39052.1,39279.2,38673.7,24.13,-0.58%
22/6/2021,39127.8,38976.4,39657.6,38749.4,24,0.98%
21/6/2021,38749.4,39354.9,39733.3,38749.4,29.39,-1.73%
18/6/2021,39430.5,39279.2,40338.7,38900.8,37.69,1.36%
17/6/2021,38900.8,38522.3,39279.2,38522.3,26.28,-0.77%
16/6/2021,39203.5,39960.3,40111.7,38976.4,37.61,-2.63%
15/6/2021,40263,40111.7,40565.8,39884.6,28.22,-0.75%
14/6/2021,40565.8,40490.1,41095.5,39960.3,37.16,0.94%
11/6/2021,40187.4,39430.5,40263,39052.1,37.74,2.91%
10/6/2021,39052.1,37992.6,39808.9,37841.2,38.11,2.58%
9/6/2021,38068.3,37765.5,38900.8,37084.4,53.24,0.60%
8/6/2021,37841.2,39581.9,40036,37841.2,50.03,-5.12%
7/6/2021,39884.6,41322.6,41625.3,39354.9,45.05,-3.30%
4/6/2021,41246.9,41246.9,41852.4,41095.5,41.18,0.37%
3/6/2021,41095.5,40868.5,41322.6,40111.7,48.06,0.56%
2/6/2021,40868.5,41625.3,42003.7,40111.7,52,-2.70%
1/6/2021,42003.7,41322.6,42609.2,40868.5,43.44,5.31%
31/5/2021,39884.6,39884.6,39884.6,39203.5,78.4,6.62%
28/5/2021,37409.3,37409.3,37520.8,36907.6,52.89,0.45%
27/5/2021,37242.1,37743.8,37799.6,36907.6,33.63,-1.47%
26/5/2021,37799.6,37576.6,37799.6,37465.1,27.18,0.59%
25/5/2021,37576.6,36405.8,37799.6,36350,39.82,3.06%
24/5/2021,36461.5,36573.1,36851.8,36238.5,41.4,-0.31%
21/5/2021,36573.1,36851.8,37019.1,36461.5,40.28,-1.50%
20/5/2021,37130.6,36907.6,37186.3,36517.3,37.82,0.76%
19/5/2021,36851.8,35681,37186.3,35402.3,49.86,4.26%
18/5/2021,35346.5,34844.8,35513.8,34844.8,68.7,2.42%
17/5/2021,34510.2,34231.5,34789,33785.5,59.68,0.81%
14/5/2021,34231.5,34566,34844.8,34008.5,55.84,-0.16%
13/5/2021,34287.2,34789,35123.5,34287.2,43.27,-1.91%
12/5/2021,34956.3,34343,34956.3,34175.7,51.45,1.13%
11/5/2021,34566,35290.8,35290.8,34566,51.89,-1.59%
10/5/2021,35123.5,33897,35290.8,33897,49.42,3.62%
7/5/2021,33897,33005,34287.2,32949.2,51.87,2.36%
6/5/2021,33116.5,33060.7,33618.2,32781.9,37.93,0.17%
5/5/2021,33060.7,33451,33618.2,33060.7,42.94,-0.84%
4/5/2021,33339.5,31945.7,33674,31778.4,57.91,2.93%
29/4/2021,32391.7,31499.7,32726.2,31443.9,48.93,3.75%
28/4/2021,31220.9,31388.2,31499.7,30942.1,27.41,-0.53%
27/4/2021,31388.2,30719.1,31443.9,30328.9,37.37,2.18%
26/4/2021,30719.1,31499.7,31555.4,30663.4,44.15,-2.31%
23/4/2021,31443.9,30942.1,31443.9,30551.9,50.01,2.55%
22/4/2021,30663.4,31499.7,32280.2,30663.4,58,-3.85%
20/4/2021,31889.9,32335.9,32670.4,31220.9,66.39,-1.04%
19/4/2021,32224.4,30774.9,32224.4,30496.1,61.09,5.86%
16/4/2021,30440.4,30161.6,31053.6,29827.1,49.9,0.18%
15/4/2021,30384.6,29827.1,30496.1,29269.6,56.3,2.83%
14/4/2021,29548.4,27931.6,29715.6,27820.1,50.46,5.79%
13/4/2021,27931.6,28712.1,28712.1,27931.6,47.31,-2.15%
12/4/2021,28544.8,27820.1,28712.1,27736.4,47.4,3.33%
9/4/2021,27624.9,27485.5,27820.1,27346.2,27.42,0.41%
8/4/2021,27513.4,27597,27652.8,27318.3,21.01,-0.20%
7/4/2021,27569.2,27541.3,27652.8,27262.5,25.29,0.10%
6/4/2021,27541.3,27485.5,27624.9,27374,24.63,0.20%
5/4/2021,27485.5,27597,27652.8,27290.4,26.99,0.51%
2/4/2021,27346.2,27206.8,27485.5,27095.3,29.27,1.13%
1/4/2021,27039.5,26203.3,27039.5,26175.4,48.58,3.63%
31/3/2021,26091.8,25896.6,26398.4,25840.9,28.65,0.75%
30/3/2021,25896.6,25924.5,26063.9,25701.5,23.4,0.32%
29/3/2021,25813,25924.5,25980.2,25729.4,23.26,0.22%
26/3/2021,25757.2,25367,25757.2,25116.1,49.33,2.67%
25/3/2021,25088.2,25478.5,25506.4,24976.7,34.98,-0.99%
24/3/2021,25339.1,25673.6,25840.9,25144,41.51,-2.47%
23/3/2021,25980.2,26008.1,26259,25868.7,21.92,-0.32%
22/3/2021,26063.9,26370.5,26454.1,26036,19.39,-0.85%
19/3/2021,26286.9,25980.2,26454.1,25980.2,32.28,1.18%
18/3/2021,25980.2,26036,26063.9,25840.9,19.6,0.65%
17/3/2021,25813,25729.4,25896.6,25673.6,21.4,0.43%
16/3/2021,25701.5,25980.2,25980.2,25534.2,24.74,-0.86%
15/3/2021,25924.5,25980.2,26147.5,25868.7,20.89,0.11%
12/3/2021,25896.6,25980.2,25980.2,25757.2,21.33,0.11%
11/3/2021,25868.7,25590,26008.1,25534.2,27.32,1.75%
10/3/2021,25422.7,25562.1,25562.1,25171.8,27.68,-0.55%
9/3/2021,25562.1,25645.7,25757.2,25116.1,28.59,-0.97%
8/3/2021,25813,25980.2,26147.5,25645.7,31.2,0.65%
5/3/2021,25645.7,25450.6,25701.5,25144,37.55,0.22%
4/3/2021,25590,26147.5,26147.5,25088.2,49.07,-1.92%
3/3/2021,26091.8,25952.4,26231.1,25924.5,39.07,0.21%
2/3/2021,26036,26091.8,26259,25757.2,41.54,1.08%
1/3/2021,25757.2,25785.1,25813,25534.2,38.61,1.32%
26/2/2021,25422.7,24363.5,25478.5,24307.7,71.83,3.28%
25/2/2021,24614.3,24530.7,24753.7,24335.6,38.49,1.26%
24/2/2021,24307.7,24335.6,24753.7,24140.4,47.88,0.69%
23/2/2021,24140.4,24084.7,24391.3,23945.3,31.45,-0.23%
22/2/2021,24196.2,24224.1,24753.7,23973.2,37.49,-0.12%
19/2/2021,24224.1,24140.4,24475,24028.9,29.85,-0.91%
18/2/2021,24447.1,24196.2,24530.7,23945.3,37.46,0.92%
17/2/2021,24224.1,23666.6,24224.1,23582.9,42.56,3.95%
9/2/2021,23304.2,22802.4,23359.9,22551.5,45.92,2.20%
8/2/2021,22802.4,23694.4,23750.2,22300.6,57.77,-3.76%
5/2/2021,23694.4,23387.8,23805.9,23248.4,41.02,1.67%
4/2/2021,23304.2,23415.7,23527.2,23164.8,39.05,-0.48%
3/2/2021,23415.7,22969.7,23610.8,22858.2,61.14,3.70%
2/2/2021,22579.4,21464.4,22579.4,21325,50.09,5.61%
1/2/2021,21380.7,21743.1,22217,21297.1,37.42,-2.04%
29/1/2021,21826.8,20628.1,22272.8,20628.1,70.64,4.40%
28/1/2021,20906.9,20962.6,21771,20906.9,87.64,-6.95%
27/1/2021,22467.9,23081.2,23638.7,22021.9,49.24,-4.73%
26/1/2021,23582.9,24307.7,24307.7,23192.7,42.29,-3.20%
25/1/2021,24363.5,24112.6,25339.1,24028.9,58.08,0.11%
22/1/2021,24335.6,24698,24921,24279.8,25.97,-1.24%
21/1/2021,24642.2,23889.6,24642.2,23304.2,36.56,6.00%
20/1/2021,23248.4,23415.7,23945.3,22300.6,66.54,0.24%
19/1/2021,23192.7,24865.2,24865.2,23136.9,45.24,-6.73%
18/1/2021,24865.2,24809.5,25004.6,24670.1,31.79,0.22%
15/1/2021,24809.5,24698,25116.1,24698,25.95,0.11%
14/1/2021,24781.6,24921,24921,24447.1,30.76,-0.56%
13/1/2021,24921,25199.7,25339.1,24753.7,28.31,-0.45%
12/1/2021,25032.5,24084.7,25032.5,23917.4,39.91,4.30%
11/1/2021,24001.1,24028.9,24140.4,23750.2,29.21,0.70%
8/1/2021,23833.8,23917.4,24140.4,23750.2,35.06,-0.12%
7/1/2021,23861.7,24056.8,24084.7,23555.1,38.23,0.00%
6/1/2021,23861.7,23694.4,24140.4,23582.9,31.5,1.06%
5/1/2021,23610.8,23304.2,23861.7,23248.4,32.7,0.12%
4/1/2021,23582.9,23415.7,23973.2,23220.5,27.79,2.05%
31/12/2020,23109,22802.4,23276.3,22690.9,20.83,1.34%
30/12/2020,22802.4,23192.7,23192.7,22718.8,38.45,-1.68%
29/12/2020,23192.7,22997.5,23332,22886,23.59,0.12%
28/12/2020,23164.8,23304.2,23387.8,22858.2,36.9,1.96%
25/12/2020,22718.8,22300.6,22774.5,22021.9,39.78,2.00%
24/12/2020,22272.8,22635.2,22746.7,21520.1,32.48,-0.12%
23/12/2020,22300.6,21994,22969.7,21966.1,49.31,1.65%
22/12/2020,21938.3,21492.2,21994,21352.9,45.72,2.08%
21/12/2020,21492.2,21743.1,21771,21380.7,27.71,-0.13%
18/12/2020,21520.1,21241.4,21603.7,21129.9,35.02,2.52%
17/12/2020,20990.5,21408.6,21548,20990.5,53.78,-2.96%
16/12/2020,21631.6,21631.6,21938.3,21464.4,30.4,0.52%
15/12/2020,21520.1,21771,21826.8,21464.4,34.37,-1.66%
14/12/2020,21882.5,21966.1,22021.9,21715.3,25.42,1.16%
11/12/2020,21631.6,21185.6,21631.6,21018.4,29.21,3.19%
10/12/2020,20962.6,21464.4,21520.1,20739.6,53.36,-2.34%
9/12/2020,21464.4,21464.4,21520.1,21241.4,26.79,0.26%
8/12/2020,21408.6,21297.1,21631.6,21185.6,35.69,0.52%
7/12/2020,21297.1,20656,21408.6,20544.5,42.82,3.38%
